model,accuracy,precision,recall,f1,auc
RandomForest,0.5852904820766378,0.3065155807365439,0.8209408194233687,0.44636963696369636,0.7201704938574751
XGBoost,0.546353522867738,0.29601613716591024,0.8907435508345979,0.44436033308099926,0.7311547876246214
DecisionTree,0.5367737948084055,0.2933070866141732,0.9044006069802731,0.4429580081753995,0.7199119913934577
LogisticRegression,0.6436959208899876,0.305205047318612,0.5872534142640364,0.40166061235080436,0.6440097206347972
MLP,0.7944993819530284,0.4791666666666667,0.1047040971168437,0.1718555417185554,0.6800840633525356
